branch_name,month,target_egp
6th of October,2024-01,830000
6th of October,2024-02,320000
6th of October,2024-03,1110000
6th of October,2024-04,500000
6th of October,2024-05,900000
6th of October,2024-06,490000
6th of October,2024-07,830000
6th of October,2024-08,1020000
6th of October,2024-09,740000
6th of October,2024-10,660000
6th of October,2024-11,1380000
6th of October,2024-12,890000
6th of October,2025-01,1310000
6th of October,2025-02,1300000
6th of October,2025-03,1610000
6th of October,2025-04,1170000
6th of October,2025-05,1330000
6th of October,2025-06,1760000
6th of October,2025-07,1460000
6th of October,2025-08,1530000
6th of October,2025-09,1630000
6th of October,2025-10,1450000
6th of October,2025-11,1680000
6th of October,2025-12,1710000
Dokki,2024-01,990000
Dokki,2024-02,1330000
Dokki,2024-03,1530000
Dokki,2024-04,970000
Dokki,2024-05,1380000
Dokki,2024-06,1870000
Dokki,2024-07,1090000
Dokki,2024-08,1490000
Dokki,2024-09,1100000
Dokki,2024-10,860000
Dokki,2024-11,2000000
Dokki,2024-12,1740000
Dokki,2025-01,970000
Dokki,2025-02,1150000
Dokki,2025-03,1680000
Dokki,2025-04,1000000
Dokki,2025-05,1540000
Dokki,2025-06,1410000
Dokki,2025-07,1710000
Dokki,2025-08,1570000
Dokki,2025-09,1000000
Dokki,2025-10,1440000
Dokki,2025-11,1600000
Dokki,2025-12,1530000
Heliopolis,2024-01,1260000
Heliopolis,2024-02,1030000
Heliopolis,2024-03,1500000
Heliopolis,2024-04,970000
Heliopolis,2024-05,1570000
Heliopolis,2024-06,2060000
Heliopolis,2024-07,1110000
Heliopolis,2024-08,1810000
Heliopolis,2024-09,1750000
Heliopolis,2024-10,950000
Heliopolis,2024-11,2110000
Heliopolis,2024-12,1700000
Heliopolis,2025-01,1740000
Heliopolis,2025-02,990000
Heliopolis,2025-03,1580000
Heliopolis,2025-04,1060000
Heliopolis,2025-05,1600000
Heliopolis,2025-06,1560000
Heliopolis,2025-07,1700000
Heliopolis,2025-08,1500000
Heliopolis,2025-09,1580000
Heliopolis,2025-10,1450000
Heliopolis,2025-11,2100000
Heliopolis,2025-12,1600000
Maadi,2024-01,1020000
Maadi,2024-02,780000
Maadi,2024-03,1830000
Maadi,2024-04,1180000
Maadi,2024-05,1240000
Maadi,2024-06,1060000
Maadi,2024-07,1230000
Maadi,2024-08,1140000
Maadi,2024-09,1380000
Maadi,2024-10,1090000
Maadi,2024-11,1420000
Maadi,2024-12,1520000
Maadi,2025-01,900000
Maadi,2025-02,1200000
Maadi,2025-03,1180000
Maadi,2025-04,1360000
Maadi,2025-05,1510000
Maadi,2025-06,1730000
Maadi,2025-07,1270000
Maadi,2025-08,1010000
Maadi,2025-09,1120000
Maadi,2025-10,1340000
Maadi,2025-11,1370000
Maadi,2025-12,1080000
Mansoura,2024-01,1350000
Mansoura,2024-02,1410000
Mansoura,2024-03,1250000
Mansoura,2024-04,1590000
Mansoura,2024-05,1880000
Mansoura,2024-06,1570000
Mansoura,2024-07,1480000
Mansoura,2024-08,1170000
Mansoura,2024-09,1640000
Mansoura,2024-10,1590000
Mansoura,2024-11,1470000
Mansoura,2024-12,1650000
Mansoura,2025-01,1830000
Mansoura,2025-02,1320000
Mansoura,2025-03,1630000
Mansoura,2025-04,1730000
Mansoura,2025-05,1780000
Mansoura,2025-06,1270000
Mansoura,2025-07,1690000
Mansoura,2025-08,1340000
Mansoura,2025-09,1670000
Mansoura,2025-10,1620000
Mansoura,2025-11,2120000
Mansoura,2025-12,1400000
Miami,2024-01,800000
Miami,2024-02,850000
Miami,2024-03,720000
Miami,2024-04,1050000
Miami,2024-05,1260000
Miami,2024-06,1890000
Miami,2024-07,1550000
Miami,2024-08,1250000
Miami,2024-09,1280000
Miami,2024-10,1020000
Miami,2024-11,920000
Miami,2024-12,1310000
Miami,2025-01,1470000
Miami,2025-02,1060000
Miami,2025-03,1280000
Miami,2025-04,1260000
Miami,2025-05,1400000
Miami,2025-06,1370000
Miami,2025-07,1200000
Miami,2025-08,1560000
Miami,2025-09,1930000
Miami,2025-10,770000
Miami,2025-11,1500000
Miami,2025-12,1060000
Nasr City,2024-01,1300000
Nasr City,2024-02,1520000
Nasr City,2024-03,1830000
Nasr City,2024-04,1690000
Nasr City,2024-05,1510000
Nasr City,2024-06,2000000
Nasr City,2024-07,2260000
Nasr City,2024-08,1990000
Nasr City,2024-09,1590000
Nasr City,2024-10,1860000
Nasr City,2024-11,1880000
Nasr City,2024-12,2080000
Nasr City,2025-01,1770000
Nasr City,2025-02,1210000
Nasr City,2025-03,2410000
Nasr City,2025-04,1640000
Nasr City,2025-05,1870000
Nasr City,2025-06,2310000
Nasr City,2025-07,2320000
Nasr City,2025-08,1980000
Nasr City,2025-09,1800000
Nasr City,2025-10,1360000
Nasr City,2025-11,2430000
Nasr City,2025-12,1750000
Smouha,2024-01,860000
Smouha,2024-02,1370000
Smouha,2024-03,1740000
Smouha,2024-04,1490000
Smouha,2024-05,1660000
Smouha,2024-06,1330000
Smouha,2024-07,1220000
Smouha,2024-08,1340000
Smouha,2024-09,1210000
Smouha,2024-10,690000
Smouha,2024-11,1410000
Smouha,2024-12,1540000
Smouha,2025-01,960000
Smouha,2025-02,830000
Smouha,2025-03,1660000
Smouha,2025-04,1940000
Smouha,2025-05,1460000
Smouha,2025-06,1470000
Smouha,2025-07,1310000
Smouha,2025-08,1450000
Smouha,2025-09,1000000
Smouha,2025-10,1300000
Smouha,2025-11,1260000
Smouha,2025-12,1420000
