order_id,order_date,branch,product_id,quantity,unit_price_egp,discount_pct,payment_method,customer_id
ORD-000001,01/01/2024,Miami,AX01,1,977.0,0.0,mobile wallet,C0457
ORD-000018,01/01/2024,Heliopolis,TV03,1,14518.0,0.0,cash,C0384
ORD-000017,01/01/2024,Mansoura,KA06,2,12187.0,0.0,mobile wallet,C0123
ORD-000016,01/01/2024,NASR CITY,AU02,2,9127.0,0.0,Cash,C0131
ORD-000015,01/01/2024,6th of October,AU04,2,1414.0,0.0,Cash,C1729
ORD-000014,01/01/2024,Heliopolis,TV06,1,87274.0,0.0,installments,C2419
ORD-000012,01/01/2024,6th of October,TV05,1,23406.0,0.0,installments,C2234
ORD-000011,01/01/2024,Smouha,KA04,1,24502.0,0.0,installments,C0420
ORD-000010,01/01/2024,Dokki,AX09,5,1840.0,0.0,cash,
ORD-000013,01/01/2024,Mansoura,AX04,2,249.0,0.0,CASH,C0357
ORD-000008,01/01/2024,Dokki,AU04,2,1462.0,0.0,Visa/Mastercard,
ORD-000007,01/01/2024,Smouha,AX06,2,1147.0,0.0,CASH,C0915
ORD-000006,01/01/2024,Miami,AC01,1,33075.0,0.0,CASH,
ORD-000005,01/01/2024,Nasr City,KA02,1,3637.0,0.0,mobile wallet,C1004
ORD-000004,01/01/2024,Nasr City,AX12,5,925.0,0.0,CASH,C1127
ORD-000003,01/01/2024,6th of october,AX03,2,566.0,0.0,VF Cash,C0103
ORD-000002,01/01/2024,Mansoura,AU03,1,13454.0,0.0,Visa/Mastercard,
ORD-000009,01/01/2024,Heliopolis,AC01,1,34210.0,0.0,CASH,C0572
ORD-000028,02/01/2024,Nasr City,AC01,1,34437.0,0.0,Valu/Installments,C0903
ORD-000033,02/01/2024,Nasr City,LP02,1,42230.0,0.0,Credit Card,C0654
ORD-000032,02/01/2024,MAADI,SP02,1,50956.0,0.0,CASH,C0027
ORD-000031,02/01/2024,Heliopolis,AX06,5,1123.0,0.0,Visa/Mastercard,C1140
ORD-000030,02/01/2024,6th of October,AC04,1,58058.0,0.0,Valu/Installments,C2414
ORD-000029,02/01/2024,Nasr City,SP08,1,45889.0,0.0,credit card,C1840
ORD-000027,02/01/2024,Dokki,AU03,2,13327.0,0.0,cash,C1719
ORD-000023,02/01/2024,Smouha,TB02,1,13854.0,0.0,Cash,C0109
ORD-000025,02/01/2024,Nasr City,LP02,1,42448.0,0.0,VF Cash,C0815
ORD-000024,02/01/2024,6th of October,AX01,1,939.0,0.0,Installments,C2299
ORD-000022,02/01/2024,Smouha,AX02,5,350.0,0.0,mobile wallet,C2466
ORD-000021,02/01/2024,Dokki,TB03,1,9309.0,0.05,Visa/Mastercard,C2070
ORD-000020,02/01/2024,Nasr City,AU01,2,6629.0,0.0,cash,C0953
ORD-000019,02/01/2024,Smouha,TB03,1,9591.0,0.0,Mobile Wallet,C0896
ORD-000026,02/01/2024,Miami,AX09,1,1809.0,0.0,Valu/Installments,C2233
ORD-000038,03/01/2024,Maadi,AC01,1,33873.0,0.0,Valu/Installments,C0882
ORD-000037,03/01/2024,6th of October,TB02,1,13208.0,0.0,credit card,C0637
ORD-000036,03/01/2024,Miami,AU05,2,3130.0,0.0,Visa/Mastercard,C1139
ORD-000034,03/01/2024,Heliopolis,TB03,1,9452.0,0.05,cash,C1732
ORD-000035,03/01/2024,Miami,SP08,1,43918.0,0.0,Valu/Installments,C1394
ORD-000048,04/01/2024,Heliopolis,AX07,4,732.0,0.0,Valu/Installments,C0178
RET-000103,04/01/2024,Smouha,AX01,-3,958.0,0.0,mobile wallet,C1379
ORD-000053,04/01/2024,Nasr City,AX03,1,542.0,0.0,Valu/Installments,
ORD-000052,04/01/2024,Miami,SP05,1,19061.0,0.0,Mobile Wallet,C0512
ORD-000051,04/01/2024,Miami,LP03,1,30176.0,0.0,Valu/Installments,C2197
ORD-000050,04/01/2024,Miami,LP01,1,28767.0,0.05,CASH,
ORD-000049,04/01/2024,Nasr City,AX09,4,1867.0,0.0,Valu/Installments,C1882
ORD-000047,04/01/2024,Nasr City,AU05,2,3106.0,0.0,mobile wallet,C1084
ORD-000043,04/01/2024,Dokki,AU03,1,13192.0,0.0,CASH,C0397
ORD-000045,04/01/2024,Nasr City,AX03,3,546.0,0.0,credit card,C1409
ORD-000044,04/01/2024,Miami,AU04,1,1485.0,0.0,CASH,C1471
ORD-000039,04/01/2024,Smouha,AX01,3,958.0,0.0,mobile wallet,C1379
ORD-000042,04/01/2024,6th of October,LP05,1,35638.0,0.0,Visa/Mastercard,C1557
ORD-000041,04/01/2024,Mansoura,AX11,3,407.0,0.0,Installments,C0380
ORD-000040,04/01/2024,Miami,SP06,1,9562.0,0.0,cash,C0419
ORD-000046,04/01/2024,Dokki,AC03,1,26340.0,0.0,CASH,C2473
ORD-000074,05/01/2024,Dokki,AX07,5,772.0,0.0,mobile wallet,C0667
ORD-000073,05/01/2024,Mansoura,TB01,1,24844.0,0.0,Credit Card,
ORD-000072,05/01/2024,Mansoura,AX11,5,391.0,0.0,credit card,C1495
ORD-000071,05/01/2024,Smouha,AU05,2,3223.0,0.0,VF Cash,C1858
ORD-000070,05/01/2024,Heliopolis,SP06,1,10051.0,0.0,Cash,
ORD-000069,05/01/2024,Maadi,KA01,2,4100.0,0.0,installments,C1139
ORD-000068,05/01/2024,Miami,KA07,2,18891.0,0.0,Valu/Installments,C1557
ORD-000067,05/01/2024,Miami,AU04,2,1465.0,0.0,CASH,C0414
ORD-000065,05/01/2024,Maadi,SP06,1,9761.0,0.0,CASH,C0327
ORD-000066,05/01/2024,Nasr City,LP05,1,,0.0,Mobile Wallet,C0954
ORD-000063,05/01/2024,Maadi,AX08,4,1341.0,0.0,CASH,C0934
ORD-000062,05/01/2024,Maadi,SP04,1,11238.0,0.0,installments,C0188
ORD-000061,05/01/2024,Heliopolis,TV02,1,26204.0,0.0,Cash,C0285
ORD-000060,05/01/2024,Dokki ,AX06,2,1173.0,0.0,Cash,C0788
ORD-000059,05/01/2024,Dokki,AU05,2,3202.0,0.0,installments,C2365
ORD-000058,05/01/2024,Heliopolis,AU05,2,3239.0,0.0,credit card,C1482
ORD-000057,05/01/2024,Maadi,AC03,1,25560.0,0.0,Visa/Mastercard,C1201
ORD-000056,05/01/2024,Maadi,KA03,1,6651.0,0.0,cash,C2262
ORD-000055,05/01/2024,Mansoura,TV06,1,90067.0,0.0,installments,C0323
ORD-000054,05/01/2024,Nasr City,LP02,1,43210.0,0.0,Installments,C1551
ORD-000064,05/01/2024,Nasr City,AX11,5,401.0,0.0,Valu/Installments,C1186
ORD-000089,06/01/2024,Miami,AX07,2,742.0,0.0,Visa/Mastercard,C2282
ORD-000090,06/01/2024,Mansoura,SP04,1,11473.0,0.0,cash,C0900
ORD-000091,06/01/2024,Nasr City,LP01,1,27698.0,0.0,installments,C1329
ORD-000092,06/01/2024,Miami,SP01,1,16850.0,0.0,CASH,C0230
ORD-000088,06/01/2024,Nasr City,SP06,1,9507.0,0.0,Visa/Mastercard,C1106
ORD-000094,06/01/2024,6TH OF OCTOBER,LP05,1,35112.0,0.0,cash,C0132
ORD-000095,06/01/2024,Nasr City,AX06,4,1166.0,0.0,Installments,C1293
ORD-000096,06/01/2024,Smouha,LP02,1,42018.0,0.0,CASH,C1644
ORD-000093,06/01/2024,Mansoura,KA05,2,10085.0,0.0,installments,C0939
ORD-000086,06/01/2024,Nasr City ,SP02,1,50644.0,0.0,Mobile Wallet,C1894
ORD-000087,06/01/2024,Nasr City,AC02,1,47053.0,0.0,Credit Card,C1555
ORD-000085,06/01/2024,6th of October,SP06,1,10068.0,0.0,credit card,
ORD-000075,06/01/2024,Maadi,SP06,1,9903.0,0.0,Mobile Wallet,C1517
ORD-000077,06/01/2024,Nasr City,AC04,1,59102.0,0.0,Valu/Installments,C0859
ORD-000078,06/01/2024,Heliopolis,AU03,1,13318.0,0.0,CASH,C1094
ORD-000079,06/01/2024,Miami,AX12,4,895.0,0.0,Credit Card,C0293
ORD-000076,06/01/2024,Miami,SP04,1,11584.0,0.0,Cash,C1456
ORD-000081,06/01/2024,Dokki,AU01,2,6469.0,0.0,mobile wallet,C0701
ORD-000082,06/01/2024,Mansoura,LP03,1,31761.0,0.0,Installments,C2188
ORD-000083,06/01/2024,Heliopolis,TB04,1,17138.0,0.0,Cash,C1003
ORD-000084,06/01/2024,Miami,KA03,1,7002.0,0.0,VF Cash,C0670
ORD-000080,06/01/2024,6TH OF OCTOBER,AC04,1,58489.0,0.0,Credit Card,C2496
ORD-000107,07/01/2024,Dokki,TB02,1,13132.0,0.0,Installments,C1085
ORD-000115,07/01/2024,Mansoura,LP03,1,31101.0,0.0,Visa/Mastercard,C2391
ORD-000114,07/01/2024,Dokki,KA01,2,4209.0,0.0,cash,C1755
ORD-000113,07/01/2024,Maadi,KA06,2,12309.0,0.0,Installments,C2395
ORD-000112,07/01/2024,Heliopolis,AX08,1,1343.0,0.0,CASH,C1077
ORD-000111,07/01/2024,Maadi,AX08,1,1326.0,0.0,CASH,C2208
ORD-000109,07/01/2024,Nasr City,SP06,1,9685.0,0.0,CASH,C1011
ORD-000106,07/01/2024,Heliopolis,SP01,1,16751.0,0.0,cash,C0586
ORD-000110,07/01/2024,Nasr City,TB01,1,24001.0,0.0,installments,C2300
ORD-000104,07/01/2024,Maadi,TV06,1,89581.0,0.0,Credit Card,C1621
ORD-000097,07/01/2024,6TH OF OCTOBER,TB01,1,23839.0,0.0,credit card,C1097
ORD-000105,07/01/2024,Heliopolis,AC06,1,41236.0,0.0,Cash,C1880
ORD-000098,07/01/2024,6th of October,LP01,1,29139.0,0.0,Installments,C0272
ORD-000099,07/01/2024,Smouha,AU04,2,1492.0,0.0,Visa/Mastercard,C0865
ORD-000100,07/01/2024,Maadi,SP01,1,16886.0,0.0,mobile wallet,C2324
ORD-000108,07/01/2024,Heliopolis,TV01,1,32508.0,0.0,Installments,C0572
ORD-000102,07/01/2024,Dokki,AX03,4,559.0,0.0,CASH,C0871
ORD-000103,07/01/2024,Nasr City,LP01,1,28917.0,0.05,Valu/Installments,C2045
ORD-000101,07/01/2024,Heliopolis,AX02,5,344.0,0.0,VF Cash,C1289
ORD-000127,08/01/2024,Smouha,SP06,1,10021.0,0.0,credit card,C1730
ORD-000126,08/01/2024,Smouha,AX12,3,887.0,0.0,cash,C0656
ORD-000125,08/01/2024,Nasr City,TB01,1,23969.0,0.0,Valu/Installments,C0627
ORD-000124,08/01/2024,Smouha,SP07,1,14349.0,0.0,VF Cash,C0450
ORD-000123,08/01/2024,Maadi,AU02,1,8851.0,0.0,CASH,C0193
ORD-000122,08/01/2024,Heliopolis,AX03,4,547.0,0.0,VF Cash,C0373
ORD-000120,08/01/2024,Dokki,AU04,2,1448.0,0.0,cash,C2088
ORD-000119,08/01/2024,Nasr City,KA06,1,12239.0,0.0,Credit Card,C0567
ORD-000117,08/01/2024,Nasr City,AX11,4,389.0,0.0,mobile wallet,C1483
ORD-000116,08/01/2024,Dokki,AC03,1,26050.0,0.0,Installments,C1636
ORD-000121,08/01/2024,Miami,SP07,1,14841.0,0.0,installments,C2022
ORD-000118,08/01/2024,Miami,LP01,1,28394.0,0.0,CASH,C0899
ORD-000137,09/01/2024,Nasr City,SP08,1,43832.0,0.05,cash,C2267
ORD-000138,09/01/2024,Nasr City,AU03,2,13231.0,0.0,Installments,C0048
ORD-000130,09/01/2024,6th of October,AC04,1,59609.0,0.0,Cash,
ORD-000136,09/01/2024,Maadi,TV03,1,14762.0,0.0,Valu/Installments,C1030
ORD-000139,09/01/2024,Nasr City,AC01,1,33978.0,0.0,Installments,C0470
ORD-000135,09/01/2024,Dokki,AC05,1,38898.0,0.0,Installments,C2168
ORD-000128,09/01/2024,Dokki,AU05,1,3151.0,0.0,Installments,C2443
ORD-000133,09/01/2024,Mansoura,AU01,1,6630.0,0.0,credit card,C2441
ORD-000132,09/01/2024,Maadi,AU05,2,3292.0,0.0,CASH,C1564
ORD-000131,09/01/2024,Miami,AX11,1,407.0,0.0,credit card,C1577
ORD-000129,09/01/2024,Smouha,AX07,1,748.0,0.0,credit card,C0261
ORD-000134,09/01/2024,Smouha,AX03,1,551.0,0.0,VF Cash,C1918
ORD-000151,10/01/2024,Dokki,AX11,2,398.0,0.0,cash,C2051
ORD-000150,10/01/2024,Maadi,TV02,1,26622.0,0.0,CASH,C1079
ORD-000149,10/01/2024,6th of october,SP05,1,19797.0,0.0,Visa/Mastercard,C0014
ORD-000148,10/01/2024,Heliopolis,AU01,1,6651.0,0.0,Cash,C1859
ORD-000147,10/01/2024,Maadi,LP06,1,21518.0,0.0,credit card,
ORD-000152,10/01/2024,Miami,AU03,2,13426.0,0.0,installments,C0732
ORD-000145,10/01/2024,Nasr City,LP01,1,28750.0,0.0,Installments,C1781
ORD-000144,10/01/2024,6th of October ,AC06,1,41555.0,0.0,Mobile Wallet,C1203
ORD-000143,10/01/2024,Nasr City,SP03,1,57952.0,0.0,credit card,C0457
ORD-000142,10/01/2024,Heliopolis,AU04,2,1470.0,0.0,Credit Card,C1394
ORD-000141,10/01/2024,Mansoura,SP01,1,16449.0,0.0,Valu/Installments,C1093
ORD-000140,10/01/2024,Heliopolis,AX06,5,1121.0,0.0,Cash,C2200
ORD-000146,10/01/2024,Nasr City,LP03,1,31160.0,0.0,Installments,C0648
ORD-000165,11/01/2024,Mansoura,AX10,5,438.0,0.0,Cash,C0003
ORD-000164,11/01/2024,nasr city,KA02,2,3699.0,0.05,mobile wallet,C2173
ORD-000163,11/01/2024,Miami,AX02,2,353.0,0.0,Credit Card,C2210
ORD-000162,11/01/2024,Dokki,LP06,1,21524.0,0.0,Credit Card,C0662
ORD-000161,11/01/2024,Dokki,KA07,2,18126.0,0.0,Visa/Mastercard,
ORD-000160,11/01/2024,MAADI,SP03,1,59175.0,0.0,Visa/Mastercard,C1532
ORD-000158,11/01/2024,Dokki,KA05,2,,0.0,Visa/Mastercard,C0815
ORD-000157,11/01/2024,Nasr City,AX06,5,1141.0,0.0,CASH,C2495
ORD-000156,11/01/2024,Nasr City,AX09,5,1797.0,0.0,installments,C2080
ORD-000155,11/01/2024,MANSOURA,AU01,2,6326.0,0.0,Credit Card,C1223
ORD-000154,11/01/2024,Nasr City,AX04,5,246.0,0.0,mobile wallet,C0436
ORD-000153,11/01/2024,Dokki,AU02,1,8985.0,0.0,CASH,C2080
ORD-000159,11/01/2024,Nasr City,AX05,3,2459.0,0.0,credit card,C0627
ORD-000179,12/01/2024,Dokki,LP03,1,30314.0,0.0,Valu/Installments,C1991
ORD-000178,12/01/2024,Smouha,AU03,2,13395.0,0.0,Valu/Installments,C0351
ORD-000181,12/01/2024,Smouha,AX01,1,942.0,0.0,cash,C2182
ORD-000177,12/01/2024,Nasr City,AX12,4,915.0,0.0,Credit Card,C0323
ORD-000183,12/01/2024,Heliopolis,TV04,1,40204.0,0.0,Visa/Mastercard,C0526
ORD-000184,12/01/2024,Heliopolis,SP02,1,51809.0,0.0,Visa/Mastercard,C1947
ORD-000182,12/01/2024,Dokki,AX03,1,549.0,0.0,Mobile Wallet,C0516
ORD-000176,12/01/2024,6th of October,LP01,1,27732.0,0.0,credit card,C2324
ORD-000180,12/01/2024,Heliopolis,SP01,1,16158.0,0.0,CASH,C0284
ORD-000174,12/01/2024,Dokki,LP03,1,31413.0,0.0,Valu/Installments,C0238
ORD-000175,12/01/2024,Dokki ,KA06,2,12871.0,0.0,credit card,C0987
ORD-000168,12/01/2024,Dokki,AX12,2,911.0,0.0,Visa/Mastercard,C2002
ORD-000169,12/01/2024,maadi,SP01,1,16777.0,0.0,Installments,C0080
ORD-000170,12/01/2024,Nasr City,LP06,1,21629.0,0.0,Valu/Installments,C0459
ORD-000167,12/01/2024,Miami,AX10,5,463.0,0.0,installments,C1328
ORD-000171,12/01/2024,Nasr City,SP06,1,9621.0,0.0,Installments,C1487
ORD-000172,12/01/2024,Heliopolis,AX04,4,255.0,0.0,Cash,C1260
ORD-000173,12/01/2024,Mansoura,AC02,1,47255.0,0.0,credit card,C0981
ORD-000166,12/01/2024,Dokki,SP05,1,19278.0,0.0,CASH,C2454
ORD-000195,13/01/2024,Dokki,LP01,1,28438.0,0.0,Installments,C0824
ORD-000202,13/01/2024,Smouha,AX05,1,2428.0,0.0,Visa/Mastercard,C0496
ORD-000201,13/01/2024,Mansoura,TB02,1,13692.0,0.0,Visa/Mastercard,C1850
